side,entry_time,exit_time,reason,qty,entry_px,exit_px,pnl
long,2023-01-27 08:15:00,2023-01-29 19:30:00,TP1,0.0015359117647134235,22982.239999999998,23877.029999999995,1.3383326359084786
long,2023-01-27 08:15:00,2023-01-30 22:30:00,SL,0.0015359117647134235,22982.239999999998,22534.820000000003,-0.722152735742655
short,2023-02-12 03:15:00,2023-02-12 09:45:00,SL,0.0032567008334152174,21791.100000000002,21906.379999999997,-0.44658728184316304
long,2023-02-17 08:30:00,2023-02-17 16:00:00,TP1,0.0014940274346905223,23660.59,24303.100000000006,0.9240980326985202
long,2023-02-17 08:30:00,2023-02-17 20:00:00,TP2,0.0014940274346905223,23660.59,24945.62000000001,1.8835605687822121
short,2023-02-21 08:15:00,2023-02-21 08:30:00,TP1,0.0014446888435544795,25051.670000000002,24968.480000000003,0.08405188856633444
short,2023-02-21 08:15:00,2023-02-21 08:45:00,TP2,0.0014446888435544795,25051.670000000002,24885.280000000006,0.2043100994059548
short,2023-03-01 19:15:00,2023-03-03 01:15:00,TP1,0.00153412639931021,23647.58,23166.670000000002,0.7018672382978188
short,2023-03-01 19:15:00,2023-03-03 01:30:00,TP2,0.00153412639931021,23647.58,22685.750000000004,1.4400282022880604
short,2023-03-05 06:15:00,2023-03-08 05:30:00,TP1,0.0016477452482366363,22406.95,21896.6,0.8044263054413138
short,2023-03-05 06:15:00,2023-03-09 18:15:00,TP2,0.0016477452482366363,22406.95,21386.239999999998,1.6457900419638094
short,2023-04-07 01:15:00,2023-04-07 05:30:00,TP1,0.0013422688491551093,28054.0,27918.19,0.14472866887576158
short,2023-04-07 01:15:00,2023-04-07 07:45:00,TP2,0.0013422688491551093,28054.0,27782.37,0.3271267774455543
short,2023-04-24 05:30:00,2023-04-24 16:45:00,TP1,0.0013653251878650839,27683.93,27051.719999999998,0.8258062562106047
short,2023-04-24 05:30:00,2023-04-25 20:30:00,SL,0.0013653251878650839,27683.93,28000.059999999998,-0.4696336286936992
short,2023-06-13 00:15:00,2023-06-13 02:30:00,SL,0.0029187813788324394,25972.77,26051.86437628674,-0.30678345970513615
short,2023-07-02 03:30:00,2023-07-02 15:15:00,TP1,0.0012390491046193977,30517.260000000002,30251.73,0.29135682742552915
short,2023-07-02 03:30:00,2023-07-02 16:15:00,SL,0.0012390491046193977,30517.260000000002,30650.05,-0.20242798094614495
long,2023-07-02 22:30:00,2023-07-03 15:30:00,TP1,0.0012377108955073702,30571.809999999998,30982.199999999993,0.46985113998767963
long,2023-07-02 22:30:00,2023-07-05 11:00:00,SL,0.0012377108955073702,30571.809999999998,30366.590000000004,-0.2917150907934082
short,2023-07-08 00:00:00,2023-07-10 00:00:00,TP1,0.0012502888160207037,30307.0,30022.929999999997,0.31745462559184956
short,2023-07-08 00:00:00,2023-07-10 18:30:00,SL,0.0012502888160207037,30307.0,30449.059999999998,-0.21559734036563968
short,2023-07-16 01:00:00,2023-07-16 01:30:00,TP1,0.0012503102554326517,30330.920000000002,30276.33,0.03036550372978334
