side,entry_time,exit_time,reason,qty,entry_px,exit_px,pnl
short,2022-08-30 10:30:00,2022-08-30 14:30:00,TP2,0.02432269078970508,20405.43,19892.859999999997,11.977000194567282
short,2022-09-02 10:15:00,2022-09-02 12:30:00,SL,0.049471266801396706,20100.59,20298.059999999998,-10.768377251554806
short,2022-09-06 01:15:00,2022-09-06 01:30:00,TP1,0.024790072365096286,20034.730000000003,19866.677178042577,3.6714622317768137
short,2022-09-06 01:15:00,2022-09-06 02:00:00,TP2,0.024790072365096286,20034.730000000003,19698.61435608515,7.839834894742856
short,2022-09-13 12:30:00,2022-09-13 19:00:00,TP1,0.0229521531866064,21664.11,20219.725,32.67108368195526
short,2022-09-13 12:30:00,2022-09-19 02:15:00,TP2,0.0229521531866064,21664.11,18775.329999999998,65.8396349715746
short,2022-09-21 19:00:00,2022-09-21 20:45:00,TP1,0.02577785834721059,19480.420000000002,18862.6321760347,15.431046131012307
short,2022-09-21 19:00:00,2022-09-21 22:15:00,TP2,0.02577785834721059,19480.420000000002,18244.834352069396,31.364513676801504
short,2022-09-26 09:15:00,2022-09-26 11:00:00,TP1,0.0263198049527112,19168.2,18959.32550768886,4.995781379879854
short,2022-09-26 09:15:00,2022-09-27 00:00:00,SL,0.0263198049527112,19168.2,19307.476328207424,-4.172061941140194
long,2022-10-07 07:00:00,2022-10-07 08:15:00,TP1,0.025344441605751392,19907.5,19989.300000000003,1.5675942644223664
long,2022-10-07 07:00:00,2022-10-07 12:15:00,SL,0.025344441605751392,19907.5,19852.940000000002,-1.886645808909228
long,2022-10-28 08:30:00,2022-10-28 09:00:00,SL,0.04998568565083446,20186.92,20159.940000000002,-2.3569965293384234
short,2022-11-02 18:30:00,2022-11-02 19:15:00,TP1,0.024474406681061392,20609.72,20339.023131386974,6.124047153487139
short,2022-11-02 18:30:00,2022-11-02 21:15:00,TP2,0.024474406681061392,20609.72,20068.316262773948,12.752749842275888
short,2022-11-18 13:45:00,2022-11-18 17:00:00,TP1,0.030165159787821635,16752.920000000002,16600.754999999997,4.0870220711709795
short,2022-11-18 13:45:00,2022-11-20 20:15:00,TP2,0.030165159787821635,16752.920000000002,16448.579999999998,8.679700453478072
short,2022-11-26 14:45:00,2022-11-26 18:45:00,TP1,0.030542139382703566,16567.04,16460.205,2.7586081008427588
short,2022-11-26 14:45:00,2022-11-28 01:00:00,TP2,0.030542139382703566,16567.04,16353.36,6.02351462062893
long,2022-12-04 00:00:00,2022-12-04 01:15:00,TP1,0.029888906389702135,16943.809999999998,16977.969999999998,0.5140625887761856
long,2022-12-04 00:00:00,2022-12-04 01:30:00,TP2,0.029888906389702135,16943.809999999998,17012.139999999996,1.5348558681465871
long,2022-12-06 11:15:00,2022-12-06 12:30:00,TP1,0.02983489125274151,16977.92,17012.155,0.5143524063888589
long,2022-12-06 11:15:00,2022-12-06 15:00:00,SL,0.02983489125274151,16977.92,16955.070000000003,-1.1879207983901743
long,2022-12-06 18:30:00,2022-12-06 18:45:00,TP1,0.029885927287208076,16947.8,16974.550000000003,0.2925481121773133
long,2022-12-06 18:30:00,2022-12-06 19:00:00,SL,0.029885927287208076,16947.8,16929.940000000002,-1.0399964984969152
long,2022-12-11 13:45:00,2022-12-11 14:00:00,SL,0.059036928558844376,17157.51,17139.95,-2.049096813378081
short,2022-12-18 00:00:00,2022-12-18 00:15:00,SL,0.06046504497233965,16748.88,16757.479999999996,-1.532981168891514
short,2022-12-23 13:15:00,2022-12-23 13:30:00,SL,0.0601407337159964,16836.65,16890.949999999997,-4.2798431460181625
short,2022-12-25 15:30:00,2022-12-25 19:00:00,TP1,0.03012771245735464,16797.5,16739.804999999997,1.233017229409876
short,2022-12-25 15:30:00,2022-12-25 21:45:00,SL,0.03012771245735464,16797.5,16835.989999999998,-1.6662657103121752
short,2022-12-26 04:15:00,2022-12-26 08:15:00,TP1,0.02998795782523851,16875.06,16823.077736107833,1.0535727706490337
short,2022-12-26 04:15:00,2022-12-26 23:45:00,SL,0.02998795782523851,16875.06,16909.741509261443,-1.5465962384446208
short,2022-12-30 02:45:00,2022-12-30 05:45:00,TP1,0.030475934269348717,16604.050000000003,16528.310000000005,1.80337744878621
short,2022-12-30 02:45:00,2022-12-30 07:15:00,TP2,0.030475934269348717,16604.050000000003,16452.560000000012,4.113083745699606
long,2023-01-18 16:45:00,2023-01-20 16:30:00,TP1,0.024289186886783314,20845.48,21284.20378341054,10.144596085487077
long,2023-01-18 16:45:00,2023-01-20 20:00:00,TP2,0.024289186886783314,20845.48,21722.937566821078,20.795754700861753
long,2023-01-25 15:15:00,2023-01-25 16:15:00,TP1,0.022531460350820855,22540.34,22638.4,1.7004635074965004
long,2023-01-25 15:15:00,2023-01-25 19:15:00,TP2,0.022531460350820855,22540.34,22736.470000000005,3.9090189939432745
long,2023-02-05 00:30:00,2023-02-05 00:45:00,SL,0.04353928827286882,23342.01,23274.927578841915,-3.9355550146655736
short,2023-02-12 15:15:00,2023-02-12 16:00:00,SL,0.04640154066110921,21893.690000000002,21960.059999999998,-4.097111035561161
short,2023-02-14 13:00:00,2023-02-14 13:15:00,SL,0.046471317758244736,21852.0,21875.479999999996,-2.107183349887043
long,2023-02-19 18:15:00,2023-02-19 23:45:00,SL,0.041514204456705714,24456.219999999998,24233.930109555833,-10.238854383895655
short,2023-02-26 12:00:00,2023-02-26 12:15:00,SL,0.043725440598231066,23196.030000000002,23250.059999999998,-3.377923430179761
short,2023-03-01 18:15:00,2023-03-01 19:45:00,TP1,0.021410639945078955,23677.920000000002,23362.75,6.244405967417936
short,2023-03-01 18:15:00,2023-03-03 01:15:00,TP2,0.021410639945078955,23677.920000000002,23047.570000000003,12.995985568056794
short,2023-03-05 14:00:00,2023-03-05 21:15:00,SL,0.0452472314607012,22450.940000000002,22510.10324969864,-3.694154618398414
long,2023-03-15 17:00:00,2023-03-15 17:15:00,SL,0.041783047663481745,24303.48,24254.940000000002,-3.042608522246971
long,2023-03-31 07:45:00,2023-03-31 12:30:00,TP1,0.018298926913041243,27738.489999999998,28017.45026850993,4.5945366271349055
long,2023-03-31 07:45:00,2023-03-31 13:15:00,TP2,0.018298926913041243,27738.489999999998,28296.420537019858,9.696840753232403
long,2023-04-02 13:15:00,2023-04-02 15:00:00,SL,0.03596565391596022,28265.809999999998,28181.374885319266,-4.051844071019397
short,2023-04-05 12:15:00,2023-04-05 12:30:00,TP1,0.01780349372190807,28539.15,28411.300000000003,1.7692181828285012
short,2023-04-05 12:15:00,2023-04-05 12:45:00,SL,0.01780349372190807,28539.15,28624.409999999996,-2.026781415520747
long,2023-04-06 12:15:00,2023-04-06 12:45:00,SL,0.036294751964234,27997.64,27878.54,-5.336711005844662
short,2023-05-10 21:00:00,2023-05-11 14:45:00,TP1,0.01828095812876833,27778.460000000003,26997.375,13.778304806957399
