zone_pct,htf_rule,rr1,rr2,score_threshold,sl_method,tp2_enabled,use_htf_filter,num_trades,round_trips,win_rate,total_pnl_pct,profit_factor,cagr_pct,max_dd_pct,positive_years,years_present,years
0.2,4h,1.0,2.0,3,Swing,True,True,1310,826,58.3206106870229,-0.8431773792351206,0.9718876463489483,-0.18154842740660815,-3.5986946522210213,3,5,4.659822039698836
0.2,4h,1.0,2.0,3,Swing,True,False,3487,2296,52.62403211930026,-20.00388614967435,0.7556008501755854,-4.674135443347549,-20.631628120532614,0,5,4.662559890485968
0.2,4h,1.0,2.0,3,Swing,False,True,910,910,52.52747252747253,-3.1740945613985874,0.884553724069183,-0.6898166589865751,-5.062977976669729,1,5,4.659822039698836
0.2,4h,1.0,2.0,3,Swing,False,False,2708,2708,46.75036927621861,-23.601819098501537,0.7086971555634558,-5.610367813860173,-24.268210280817588,0,5,4.662559890485968
0.2,4h,1.0,2.0,3,ATR,True,True,1398,884,61.80257510729614,1.2524286380381704,1.0464749796517576,0.2674596461903711,-2.1727557951349548,4,5,4.659822039698836
0.2,4h,1.0,2.0,3,ATR,True,False,3953,2641,54.89501644320769,-22.971719610142898,0.7351235444141505,-5.443940824285976,-23.23515051452472,0,5,4.662559890485968
0.2,4h,1.0,2.0,3,ATR,False,True,946,946,56.02536997885835,-1.3095154949956282,0.9447275032014764,-0.28247915593132555,-2.7538157206766343,2,5,4.659822039698836
0.2,4h,1.0,2.0,3,ATR,False,False,2883,2883,48.838015955601804,-26.84181228812716,0.6628165187819144,-6.483581146723427,-27.016015626984753,0,5,4.662559890485968
0.2,4h,1.5,3.0,3,Swing,True,True,1102,758,50.544464609800364,-0.8622021644280241,0.9742371767875005,-0.18565870716439337,-3.4588987349686655,2,5,4.659822039698836
0.2,4h,1.5,3.0,3,Swing,True,False,2773,1996,44.42841687702849,-20.146209925659818,0.7590738931712203,-4.71645213791586,-20.489573149246613,0,5,4.657084188911704
0.2,4h,1.5,3.0,3,Swing,False,True,866,866,44.1108545034642,-1.2307644208569075,0.9615743928577273,-0.2654086143478396,-5.079557484635683,4,5,4.659822039698836
0.2,4h,1.5,3.0,3,Swing,False,False,2519,2519,38.07066296149266,-20.9374459809186,0.770134657096725,-4.9138307563729615,-22.104765405236318,0,5,4.662559890485968
0.2,4h,1.5,3.0,3,ATR,True,True,1233,832,53.36577453365775,2.706118648838586,1.087443901852679,0.5746604711771575,-2.1544738396188667,4,5,4.659822039698836
0.2,4h,1.5,3.0,3,ATR,True,False,3387,2413,46.47180395630352,-20.376781526376504,0.7834002416149259,-4.76961294375352,-20.85233912006607,0,5,4.662559890485968
0.2,4h,1.5,3.0,3,ATR,False,True,904,904,46.792035398230084,-0.45075181161525135,0.9843407164720701,-0.09690323605532347,-2.4135154584081056,3,5,4.659822039698836
0.2,4h,1.5,3.0,3,ATR,False,False,2756,2756,39.58635703918723,-23.537072481621607,0.7435765432913255,-5.593216814846535,-23.878985275589304,0,5,4.662559890485968
0.2,4h,2.0,4.0,3,Swing,True,True,1010,724,45.54455445544555,1.498863138036036,1.043504285556933,0.31959209197351957,-2.6495122062076453,4,5,4.662559890485968
0.2,4h,2.0,4.0,3,Swing,True,False,2387,1798,39.75701717637202,-17.193086805639386,0.796058520297412,-3.965992671231977,-18.368603359180067,0,5,4.662559890485968
0.2,4h,2.0,4.0,3,Swing,False,True,828,828,38.526570048309175,0.026754187259352302,1.0007598163789655,0.0057408580384610275,-3.8140820435748415,3,5,4.659822039698836
0.2,4h,2.0,4.0,3,Swing,False,False,2300,2300,32.26086956521739,-20.789939339506475,0.7785729156832996,-4.875810445896189,-21.98995323345019,0,5,4.662559890485968
0.2,4h,2.0,4.0,3,ATR,True,True,1130,796,47.61061946902655,4.829489869742596,1.1454469175250308,1.0167010892944806,-1.7784682100409919,4,5,4.662559890485968
0.2,4h,2.0,4.0,3,ATR,True,False,2916,2174,40.98079561042524,-15.589152605283846,0.836909230567539,-3.56952482349,-16.117538176580833,0,5,4.662559890485968
0.2,4h,2.0,4.0,3,ATR,False,True,886,886,40.85778781038375,3.0571793963416445,1.095552327067196,0.6483359629857022,-1.9138458392685551,4,5,4.659822039698836
0.2,4h,2.0,4.0,3,ATR,False,False,2650,2650,33.24528301886793,-20.887333980298784,0.7910884419233255,-4.90090798258419,-21.311424328501243,0,5,4.662559890485968
0.2,4h,1.0,2.0,4,Swing,True,True,916,571,58.18777292576419,0.8833803642944116,1.0424461124877753,0.18891963982476945,-2.0542439408499455,2,5,4.659822039698836
0.2,4h,1.0,2.0,4,Swing,True,False,2468,1623,52.188006482982175,-11.578700862940766,0.8211082156767417,-2.606250944410815,-14.888871588168644,1,5,4.659822039698836
0.2,4h,1.0,2.0,4,Swing,False,True,607,607,52.55354200988468,-1.0218726119364865,0.9448718919275425,-0.22017973733639007,-3.557290587737557,1,5,4.659822039698836
0.2,4h,1.0,2.0,4,Swing,False,False,1848,1848,46.807359307359306,-13.661177985758108,0.7743842475642857,-3.103117815299239,-16.323075563255816,0,5,4.659822039698836
0.2,4h,1.0,2.0,4,ATR,True,True,954,602,61.111111111111114,0.7228551763628256,1.0390621289761168,0.15468659963449038,-1.5772815459101992,2,5,4.659822039698836
0.2,4h,1.0,2.0,4,ATR,True,False,2784,1856,55.35201149425287,-14.04858315939338,0.7802341174931642,-3.1965865564922313,-14.355752220526883,0,5,4.659822039698836
